zip,lat,lon,state
88004,32.4181,-106.8201,NM
11222,40.7272,-73.9498,NY
11733,40.9426,-73.1116,NY
17540,40.0964,-76.1921,PA
42240,36.8621,-87.4851,KY
45171,38.9832,-83.7966,OH
45201,39.1668,-84.5382,OH
48743,44.4197,-83.8719,MI
48745,44.5833,-83.4355,MI
55301,45.2534,-93.6469,MN
59755,45.2938,-111.9461,MT
60690,41.8119,-87.6873,IL
65789,36.8441,-91.9137,MO
75501,33.4113,-94.1774,TX
91496,34.1867,-118.449,CA
93449,35.1578,-120.6522,CA
95139,37.2252,-121.7687,CA
95841,38.6627,-121.3406,CA
8103,39.9351,-75.1117,NJ
18976,40.2464,-75.1354,PA
32434,30.7432,-86.3149,FL
38856,34.5011,-88.4498,MS
44430,41.2445,-80.8869,OH
46562,41.2124,-85.7061,IN
49833,46.2888,-87.3418,MI
61411,40.3852,-90.5037,IL
64017,39.2048,-94.0259,MO
72679,35.7341,-92.8391,AR
75559,33.5087,-94.6163,TX
97378,45.0897,-123.4003,OR
6881,41.1415,-73.3579,CT
16508,42.0976,-80.0935,PA
37162,35.5108,-86.45,TN
37235,36.1866,-86.7852,TN
56161,43.723,-95.3381,MN
60953,40.6293,-87.6853,IL
92254,33.545,-116.0187,CA
98901,46.6021,-120.5059,WA
6266,41.6677,-72.1681,CT
7676,40.9883,-74.0635,NJ
13450,42.708,-74.8025,NY
21746,39.5638,-77.7206,MD
24849,37.6608,-81.5628,WV
27596,36.0249,-78.4744,NC
30535,34.5756,-83.5696,GA
32702,29.0219,-81.6323,FL
43512,41.2799,-84.3626,OH
50003,41.6221,-94.038,IA
53816,42.9689,-90.8665,WI
60107,42.0225,-88.169,IL
94025,37.4396,-122.1864,CA
3861,43.1192,-70.9969,NH
12570,41.6194,-73.6783,NY
14620,43.1317,-77.6062,NY
25638,37.7557,-81.9996,WV
27891,36.0758,-77.7167,NC
31016,32.9003,-84.0626,GA
36020,32.5056,-86.3322,AL
36858,32.2845,-85.3029,AL
52046,42.4451,-91.0083,IA
52057,42.4834,-91.449,IA
62334,40.395,-91.2496,IL
65729,36.5156,-92.6038,MO
73030,34.4953,-97.1084,OK
82213,42.5004,-105,WY
87024,35.6243,-106.7219,NM
88054,32.4888,-106.9146,NM
11004,40.7481,-73.7114,NY
14610,43.1452,-77.5495,NY
24273,36.9378,-82.6249,VA
28603,35.6799,-81.2872,NC
44120,41.4714,-81.5839,OH
60551,41.5164,-88.6706,IL
66036,38.6581,-94.8521,KS
76943,30.7164,-101.2388,TX
78122,29.3961,-97.7566,TX
80905,38.8377,-104.837,CO
88527,31.6948,-106.3,TX
90710,33.797,-118.2991,CA
94305,37.4236,-122.1619,CA
97355,44.5316,-122.8821,OR
23250,37.5075,-77.3329,VA
30833,33.2104,-82.381,GA
47401,39.1401,-86.5083,IN
59314,45.0994,-105.3383,MT
60623,41.849,-87.7157,IL
68733,42.2852,-96.7159,NE
71831,33.7935,-93.807,AR
72576,36.3766,-91.8759,AR
74456,35.7115,-95.9917,OK
91182,34.1478,-118.1445,CA
92004,33.2386,-116.3514,CA
93250,35.6758,-119.2272,CA
94035,37.3861,-122.0839,CA
16362,41.4798,-79.9403,PA
27514,35.9203,-79.0372,NC
37122,36.1897,-86.5023,TN
38916,33.8408,-89.3178,MS
39561,30.6975,-89.1536,MS
40045,38.6925,-85.3659,KY
42140,36.654,-85.8134,KY
42206,36.8818,-86.7198,KY
47747,37.9971,-87.575,IN
51025,42.4948,-95.565,IA
55089,44.603,-92.7263,MN
62447,39.322,-88.4503,IL
62942,37.6322,-89.4999,IL
67575,38.4533,-99.3079,KS
79941,31.7587,-106.4869,TX
84158,40.769,-111.7621,UT
13692,44.2898,-76.0262,NY
28815,35.6203,-82.5286,NC
30394,33.749,-84.388,GA
37181,36.2237,-87.4565,TN
54521,45.9161,-89.2531,WI
68379,40.5199,-95.8674,NE
78254,29.5551,-98.7442,TX
78714,30.2672,-97.7431,TX
90507,33.7866,-118.2987,CA
16258,41.1955,-79.3082,PA
23316,37.2896,-75.9713,VA
29102,33.6184,-80.2116,SC
30819,33.4599,-82.5901,GA
32708,28.6831,-81.2814,FL
34476,29.1159,-82.2422,FL
43442,41.4147,-83.2135,OH
52158,43.036,-91.1931,IA
54616,44.2968,-91.2235,WI
55923,43.8362,-92.1574,MN
63127,38.5355,-90.407,MO
72957,35.4368,-94.3483,AR
96761,20.9174,-156.6772,HI
97021,45.3913,-121.1432,OR
2804,41.4231,-71.7837,RI
7009,40.8534,-74.2297,NJ
19081,39.8967,-75.3474,PA
22713,38.5382,-78.1423,VA
22735,38.4604,-78.1572,VA
27281,35.2259,-79.6685,NC
32413,30.3105,-85.9106,FL
32693,29.6133,-82.8176,FL
61131,42.3254,-89.1705,IL
72569,36.0767,-91.4793,AR
74002,36.5429,-96.1318,OK
74050,36.0731,-96.0621,OK
85641,32.0027,-110.7053,AZ
90623,33.8491,-118.0398,CA
94538,37.5308,-121.9712,CA
2722,41.7015,-71.155,MA
7869,40.8456,-74.5725,NJ
24413,38.5152,-79.5613,VA
40452,37.6033,-84.9492,KY
49031,41.8968,-85.9923,MI
49277,42.3887,-84.4589,MI
50115,41.6837,-94.4864,IA
65202,38.995,-92.3112,MO
71256,32.9529,-92.6858,LA
74572,34.5598,-96.4274,OK
78943,29.6994,-96.5942,TX
91023,34.2264,-118.0662,CA
12123,42.5271,-73.6118,NY
